ptp,condition,hidden_pa_img_type,hidden_pa_img_row_number_across_blocks,border_dist_closest,counterbalancing,mouse_error_mean,mouse_error_sd,mouse_error_n,y_hat_three_param,y_hat_two_param
sub_074,schema_ic,far,3,all,cb4,170.0007161874561,58.76619979694372,2,131.67586419142418,132.02192526806473
sub_074,schema_ic,far,4,all,cb4,104.69649313570633,1.4656559078809757,2,129.57429971410852,130.01712966686782
sub_074,schema_ic,far,5,all,cb4,95.5566281120451,8.533164406182074,2,127.72292466437729,128.0427775347721
sub_074,schema_ic,far,6,all,cb4,148.34185262217028,40.99522403054945,2,126.09195420795554,126.09840657786076
sub_074,schema_ic,far,7,all,cb4,126.50202270885444,18.030574677676455,2,124.6551493692457,124.18356152229947
sub_074,schema_ic,far,8,all,cb4,NA,NA,2,123.38939489992855,122.29779400773427
sub_074,schema_ic,near,1,all,cb4,122.34406091920233,8.221805632745044,2,122.34406102741701,110.041971285476
sub_074,schema_ic,near,2,all,cb4,87.31393792789022,51.03116385420473,2,98.98659236305203,107.90503835524326
sub_074,schema_ic,near,3,all,cb4,109.82193693944589,3.921770136350096,2,98.986592363052,105.80960306718259
sub_074,schema_ic,near,4,all,cb4,NA,NA,2,98.986592363052,103.75485956806317
sub_074,schema_ic,near,5,all,cb4,NA,NA,2,98.986592363052,101.74001765372235
sub_074,schema_ic,near,6,all,cb4,112.57088546970107,6.584778766254338,2,98.986592363052,99.76430246517234
sub_074,schema_ic,near,7,all,cb4,89.41495202215415,9.794636645499885,2,98.986592363052,97.82695419060846
sub_074,schema_ic,near,8,all,cb4,95.81124946842715,61.41486911052776,2,98.986592363052,95.92722777320401
sub_074,random_loc,all_pa,1,1,cb4,99.72633513242785,NA,1,NA,NA
sub_074,random_loc,all_pa,1,2,cb4,127.83474792997525,NA,1,NA,NA
sub_074,random_loc,all_pa,1,3,cb4,155.71526183883242,45.58638464315809,2,NA,NA
sub_074,random_loc,all_pa,1,4,cb4,125.0078563887527,11.235386669949332,2,NA,NA
sub_074,random_loc,all_pa,1,all,cb4,131.50121991959557,29.947974524385348,6,168.202835300359,167.486316345555
sub_074,random_loc,all_pa,2,1,cb4,330.04549598342544,NA,1,NA,NA
sub_074,random_loc,all_pa,2,2,cb4,NA,NA,1,NA,NA
sub_074,random_loc,all_pa,2,3,cb4,NA,NA,2,NA,NA
sub_074,random_loc,all_pa,2,4,cb4,95.91787767571017,NA,2,NA,NA
sub_074,random_loc,all_pa,2,all,cb4,212.98168682956782,165.55322656844112,6,166.0691521059142,165.91244262577666
sub_074,random_loc,all_pa,3,1,cb4,282.9550506157211,NA,1,NA,NA
sub_074,random_loc,all_pa,3,2,cb4,NA,NA,1,NA,NA
sub_074,random_loc,all_pa,3,3,cb4,161.21662725539738,14.209449204482544,2,NA,NA
sub_074,random_loc,all_pa,3,4,cb4,NA,NA,2,NA,NA
