ptp,counterbalancing,condition,hidden_pa_img_row_number_across_blocks,mouse_error_mean,mouse_error_sd,mouse_error_n,border_dist_closest,hidden_pa_img_type
sub_006,cb1,schema_4_4,2,86.3549429568102,70.21419025531594,6,all,all_pa
sub_006,cb1,schema_4_4,3,55.5941049278013,81.02346353143872,6,all,all_pa
sub_006,cb1,schema_4_4,4,24.846051539925046,21.381706862383638,6,all,all_pa
sub_006,cb1,schema_4_4,5,26.90446225909421,14.003082287739645,6,all,all_pa
sub_006,cb1,schema_4_4,6,38.502289152500836,55.5114111865218,6,all,all_pa
sub_006,cb1,schema_4_4,7,28.200488631864843,11.935282778690732,6,all,all_pa
sub_006,cb1,schema_4_4,8,22.513298211956826,13.262045665802823,6,all,all_pa
sub_006,cb1,schema_6_0,1,165.31572160743465,109.87238697365225,6,all,all_pa
sub_006,cb1,schema_6_0,2,131.15531138894926,71.284722406714,6,all,all_pa
sub_006,cb1,schema_6_0,3,46.867554930889604,72.88408551084552,6,all,all_pa
sub_006,cb1,schema_6_0,4,41.73895703267999,32.66978766354474,6,all,all_pa
sub_006,cb1,schema_6_0,5,27.21362118348749,15.541537198429147,6,all,all_pa
sub_006,cb1,schema_6_0,6,21.405126599771016,10.090507087828529,6,all,all_pa
sub_006,cb1,schema_6_0,7,22.365768390157967,7.123547372872603,6,all,all_pa
sub_006,cb1,schema_6_0,8,19.701915163065078,7.167469126620018,6,all,all_pa
sub_007,cb3,schema_2_2,1,172.05720321650915,117.95612289299184,6,all,all_pa
sub_007,cb3,schema_2_2,2,87.79834268123705,46.8539723104438,6,all,all_pa
sub_007,cb3,schema_2_2,3,81.65943266788965,82.2543040608477,6,all,all_pa
sub_007,cb3,schema_2_2,4,38.12230005043981,20.536909195752703,6,all,all_pa
sub_007,cb3,schema_2_2,5,52.36259161378573,30.98019555561363,6,all,all_pa
sub_007,cb3,schema_2_2,6,40.558937708261396,28.29351947762548,6,all,all_pa
sub_007,cb3,schema_2_2,7,27.84493951038456,20.52313443457023,6,all,all_pa
sub_007,cb3,schema_2_2,8,34.361924233632436,10.873667795037656,6,all,all_pa
sub_007,cb3,schema_4_2,1,203.16904999246032,119.34907881399056,6,all,all_pa
sub_007,cb3,schema_4_2,2,139.23710905522063,104.77659505219901,6,all,all_pa
sub_007,cb3,schema_4_2,3,54.8505805984346,45.19740935633124,6,all,all_pa
sub_007,cb3,schema_4_2,4,59.08234404963437,41.548659851085716,6,all,all_pa
sub_007,cb3,schema_4_2,5,68.2779838479331,48.51573286784492,6,all,all_pa
